# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.247774753840459550e+00 -1.405510000000000006e-03 4.009309999999999957e-02 3.868759000000000087e-02 2.545337324698249050e-07 1.685410347354669467e-07 4.078079987279605412e+00 2.700325077233475035e+00 3.110455716325624021e-07
1.260507149287811046e+00 3.431999999999999938e-04 3.915899999999999936e-02 3.950220000000000120e-02 2.598932217480984576e-07 1.733454417274169460e-07 4.163948472197839479e+00 2.777300163460760363e+00 3.132220885407759549e-07
1.273239544735162765e+00 4.903499999999999873e-03 3.646529999999999910e-02 4.136879999999999724e-02 2.721739728889209931e-07 1.786609846708727084e-07 4.360707797455787293e+00 2.862464550471044422e+00 3.154630310512320240e-07
1.285971940182514484e+00 1.210299999999999918e-02 3.226079999999999920e-02 4.436379999999999491e-02 2.918787032364852963e-07 1.843231675928695668e-07 4.676412382877169094e+00 2.953182722221616263e+00 3.177738599351038748e-07
1.298704335629865980e+00 2.103119999999999989e-02 2.719639999999999905e-02 4.822759999999999547e-02 3.172994501870425358e-07 1.901774661916914895e-07 5.083697650707264870e+00 3.046978926456530790e+00 3.201580050174182719e-07
1.311436731077217699e+00 3.017689999999999956e-02 2.218530000000000155e-02 5.236219999999999763e-02 3.445018468798770937e-07 1.960588349914419290e-07 5.519528094407848862e+00 3.141208843125498529e+00 3.226168616788113122e-07
1.324169126524569196e+00 3.776779999999999721e-02 1.817670000000000050e-02 5.594449999999999423e-02 3.680705465540271597e-07 2.017700117060479128e-07 5.897140293524715027e+00 3.232711981973364512e+00 3.251495187770694238e-07
1.336901521971920914e+00 4.222150000000000208e-02 1.590509999999999841e-02 5.812660000000000049e-02 3.824270380703611403e-07 2.070772741129104812e-07 6.127156646061610701e+00 3.317743700161182474e+00 3.277523214373811411e-07
1.349633917419272633e+00 4.257020000000000248e-02 1.568519999999999984e-02 5.825539999999999885e-02 3.832744401634383715e-07 2.117363540737184135e-07 6.140733524392921083e+00 3.392390390652623378e+00 3.304185718037872776e-07
1.362366312866624130e+00 3.872760000000000091e-02 1.731289999999999912e-02 5.604050000000000004e-02 3.687021505985568147e-07 2.155483207779818304e-07 5.907259705945568484e+00 3.453464830484191950e+00 3.331387505281896777e-07
1.375098708313975848e+00 3.151230000000000003e-02 2.009949999999999931e-02 5.161179999999999934e-02 3.395648085984706808e-07 2.184319110819098080e-07 5.440428020651520313e+00 3.499665040554015505e+00 3.359015544923764498e-07
1.387831103761327567e+00 2.242600000000000149e-02 2.303459999999999883e-02 4.546060000000000378e-02 2.990947794452360774e-07 2.204885068864705279e-07 4.792026669785407478e+00 3.532615337990511861e+00 3.386958086581215937e-07
1.400563499208679064e+00 1.326240000000000058e-02 2.503359999999999960e-02 3.829599999999999671e-02 2.519573800969357868e-07 2.220347497580372125e-07 4.036802271551671595e+00 3.557388879983643726e+00 3.415129992072454225e-07
1.413295894656030782e+00 5.671159999999999743e-03 2.520669999999999855e-02 3.087786000000000003e-02 2.031518881501976910e-07 2.235849438614787021e-07 3.254852083472282054e+00 3.582225727690628858e+00 3.443499022863911022e-07
1.426028290103382501e+00 8.078560000000000255e-04 2.307870000000000060e-02 2.388655599999999976e-02 1.571546393696141498e-07 2.257798161019736298e-07 2.517894911226922883e+00 3.617391457873991190e+00 3.472106471983705780e-07
1.438760685550733776e+00 -8.427649999999999855e-04 1.870439999999999950e-02 1.786163500000000071e-02 1.175154261240790777e-07 2.292741098793860759e-07 1.882804698705526913e+00 3.673376216299009123e+00 3.501076104661027645e-07
1.451493080998085494e+00 5.516639999999999955e-04 1.265250000000000055e-02 1.320416400000000087e-02 8.687295194825247854e-08 2.346087380882484279e-07 1.391858137380948879e+00 3.758846382972174549e+00 3.530607803968865884e-07
1.464225476445436991e+00 4.341079999999999765e-03 5.863909999999999956e-03 1.020499000000000059e-02 6.714075998316872253e-08 2.420986428204362463e-07 1.075713568340351589e+00 3.878847886500147890e+00 3.560955938400868739e-07
1.476957871892788710e+00 9.631980000000000056e-03 -5.741060000000000087e-04 9.057874000000000481e-03 5.959364430457887638e-08 2.517640317914427940e-07 9.547954443970345650e-01 4.033704490178828372e+00 3.592396212750095033e-07
1.489690267340140206e+00 1.551059999999999939e-02 -5.677879999999999733e-03 9.832719999999999655e-03 6.469151792424124720e-08 2.633213878052254724e-07 1.036472384362115084e+00 4.218873747739848135e+00 3.625187569007443985e-07
1.502422662787491925e+00 2.119470000000000035e-02 -8.777699999999999392e-03 1.241700000000000095e-02 8.169403563462639745e-08 2.762360049410951097e-07 1.308882750309617649e+00 4.425788725861311335e+00 3.659536859462384962e-07
1.515155058234843644e+00 2.610190000000000080e-02 -9.637160000000000518e-03 1.646473999999999854e-02 1.083249622513375520e-07 2.898210638396785591e-07 1.735557233980250524e+00 4.643445365249553092e+00 3.695573171689812633e-07
1.527887453682195140e+00 2.985700000000000159e-02 -8.458500000000000740e-03 2.139850000000000085e-02 1.407851994465291746e-07 3.033593529035560546e-07 2.255627569662587817e+00 4.860352669274375259e+00 3.733336209877811011e-07
