#Distance(A)    Macroscopic-Average    Planar-Average
 30.8168            -2.46838            -2.83212
 30.8690            -2.47936            -2.97978
 30.9211            -2.48671            -3.08851
 30.9733            -2.49039            -3.15004
 31.0254            -2.49037            -3.16248
 31.0775            -2.48661            -3.12335
 31.1297            -2.47909            -3.03595
 31.1818            -2.46777            -2.90320
 31.2340            -2.45267            -2.73366
 31.2861            -2.43379            -2.51672
 31.3383            -2.41113            -2.27710
 31.3904            -2.38474            -2.08347
 31.4426            -2.35467            -1.96831
 31.4947            -2.32101            -1.94065
 31.5468            -2.28386            -2.01479
 31.5990            -2.24335            -2.19278
 31.6511            -2.19966            -2.45898
 31.7033            -2.15300            -2.79815
 31.7554            -2.10359            -3.14750
 31.8076            -2.05170            -3.47168
 31.8597            -1.99762            -3.75957
 31.9118            -1.94163            -4.00634
 31.9640            -1.88407            -4.20433
 32.0161            -1.82524            -4.35552
 32.0683            -1.76546            -4.49549
 32.1204            -1.70506            -4.59542
 32.1726            -1.64435            -4.60721
 32.2247            -1.58364            -4.49862
 32.2768            -1.52323            -4.25250
 32.3290            -1.46340            -3.87671
 32.3811            -1.40444            -3.37331
 32.4333            -1.34661            -2.76128
 32.4854            -1.29014            -2.07265
 32.5376            -1.23528            -1.35722
 32.5897            -1.18225            -0.66772
 32.6419            -1.13125            -0.05678
 32.6940            -1.08248             0.44390
 32.7461            -1.03615             0.82682
 32.7983            -0.99246             1.13159
 32.8504            -0.95159             1.39041
 32.9026            -0.91375             1.59257
 32.9547            -0.87912             1.72548
 33.0069            -0.84788             1.82222
 33.0590            -0.82019             1.90345
 33.1111            -0.79620             1.95761
 33.1633            -0.77602             1.99258
 33.2154            -0.75971             2.01511
 33.2676            -0.74731             2.02887
 33.3197            -0.73882             2.03362
 33.3719            -0.73417             2.02992
 33.4240            -0.73327             2.01920
 33.4761            -0.73595             2.00117
 33.5283            -0.74202             1.97201
 33.5804            -0.75124             1.92406
 33.6326            -0.76331             1.86154
 33.6847            -0.77789             1.77594
 33.7369            -0.79460             1.64414
 33.7890            -0.81305             1.49617
 33.8412            -0.83282             1.35024
 33.8933            -0.85348             1.16664
 33.9454            -0.87460             0.89734
 33.9976            -0.89574             0.52492
 34.0497            -0.91648             0.03560
 34.1019            -0.93641            -0.56172
 34.1540            -0.95514            -1.23028
 34.2062            -0.97227            -1.92090
 34.2583            -0.98742            -2.57051
 34.3104            -1.00022            -3.13980
 34.3626            -1.01028            -3.60715
 34.4147            -1.01723            -3.98187
 34.4669            -1.02068            -4.27499
 34.5190            -1.02026            -4.47358
 34.5712            -1.01558            -4.59809
 34.6233            -1.00626            -4.65565
 34.6754            -0.99192            -4.63367
 34.7276            -0.97219            -4.52818
 34.7797            -0.94669            -4.34392
 34.8319            -0.91508            -4.09996
 34.8840            -0.87700            -3.80869
 34.9362            -0.83213            -3.44593
 34.9883            -0.78017            -3.06516
 35.0405            -0.72085            -2.69350
 35.0926            -0.65393            -2.34897
 35.1447            -0.57923            -2.06643
 35.1969            -0.49662            -1.87744
 35.2490            -0.40602            -1.80406
 35.3012            -0.30744            -1.82848
 35.3533            -0.20091            -1.89806
 35.4055            -0.08656            -1.98363
 35.4576             0.03545            -2.07723
 35.5097             0.16490            -2.13832
 35.5619             0.30151            -2.15089
 35.6140             0.44497            -2.11697
 35.6662             0.59494            -2.02919
 35.7183             0.75102            -1.88432
 35.7705             0.91282            -1.67974
 35.8226             1.07991            -1.41634
 35.8748             1.25183            -1.09556
 35.9269             1.42816            -0.72201
 35.9790             1.60845            -0.30033
 36.0312             1.79227             0.16210
 36.0833             1.97920             0.65922
 36.1355             2.16883             1.18304
 36.1876             2.36074             1.72776
 36.2398             2.55457             2.28241
 36.2919             2.74991             2.83498
 36.3440             2.94637             3.37199
 36.3962             3.14358             3.89569
 36.4483             3.34112             4.37979
 36.5005             3.53859             4.81749
 36.5526             3.73558             5.23053
 36.6048             3.93167             5.62416
 36.6569             4.12644             6.00126
 36.7090             4.31947             6.34424
 36.7612             4.51035             6.64531
 36.8133             4.69867             6.91273
 36.8655             4.88404             7.12937
 36.9176             5.06608             7.29359
 36.9698             5.24441             7.43472
 37.0219             5.41872             7.56135
 37.0741             5.58867             7.68467
 37.1262             5.75398             7.79470
 37.1783             5.91440             7.89223
 37.2305             6.06970             7.97736
 37.2826             6.21972             8.05288
 37.3348             6.36431             8.11858
 37.3869             6.50338             8.17688
 37.4391             6.63684             8.22742
 37.4912             6.76469             8.27231
 37.5433             6.88691             8.31109
 37.5955             7.00353             8.34558
 37.6476             7.11461             8.37526
 37.6998             7.22022             8.40172
 37.7519             7.32046             8.42439
 37.8041             7.41542             8.44467
 37.8562             7.50524             8.46194
 37.9083             7.59005             8.47747
 37.9605             7.66999             8.49060
 38.0126             7.74520             8.50250
 38.0648             7.81584             8.51246
 38.1169             7.88204             8.52157
 38.1691             7.94395             8.52911
 38.2212             8.00171             8.53609
 38.2734             8.05547             8.54177
 38.3255             8.10538             8.54712
 38.3776             8.15158             8.55140
 38.4298             8.19423             8.55551
 38.4819             8.23348             8.55871
 38.5341             8.26949             8.56188
 38.5862             8.30242             8.56426
 38.6384             8.33245             8.56671
 38.6905             8.35975             8.56847
 38.7426             8.38447             8.57037
 38.7948             8.40680             8.57166
 38.8469             8.42690             8.57314
 38.8991             8.44493             8.57407
 38.9512             8.46107             8.57523
 39.0034             8.47546             8.57589
 39.0555             8.48826             8.57682
 39.1076             8.49962             8.57727
 39.1598             8.50967             8.57801
 39.2119             8.51854             8.57831
 39.2641             8.52636             8.57892
 39.3162             8.53324             8.57910
 39.3684             8.53929             8.57960
 39.4205             8.54459             8.57970
 39.4727             8.54924             8.58012
 39.5248             8.55331             8.58015
 39.5769             8.55687             8.58051
 39.6291             8.55999             8.58049
 39.6812             8.56272             8.58080
 39.7334             8.56511             8.58074
 39.7855             8.56720             8.58102
 39.8377             8.56903             8.58094
 39.8898             8.57064             8.58119
 39.9419             8.57204             8.58108
 39.9941             8.57327             8.58132
 40.0462             8.57434             8.58119
 40.0984             8.57528             8.58141
 40.1505             8.57609             8.58128
 40.2027             8.57681             8.58149
 40.2548             8.57743             8.58134
 40.3070             8.57797             8.58154
 40.3591             8.57844             8.58139
 40.4112             8.57886             8.58159
 40.4634             8.57922             8.58143
 40.5155             8.57953             8.58162
 40.5677             8.57980             8.58146
 40.6198             8.58004             8.58165
 40.6720             8.58025             8.58148
 40.7241             8.58042             8.58167
 40.7762             8.58055             8.58150
 40.8284             8.58062             8.58168
 40.8805             8.58061             8.58152
 40.9327             8.58048             8.58169
 40.9848             8.58020             8.58153
 41.0370             8.57974             8.58170
 41.0891             8.57905             8.58154
 41.1412             8.57810             8.58171
 41.1934             8.57684             8.58154
 41.2455             8.57525             8.58172
 41.2977             8.57329             8.58155
 41.3498             8.57090             8.58172
 41.4020             8.56807             8.58155
 41.4541             8.56474             8.58173
 41.5063             8.56088             8.58156
 41.5584             8.55645             8.58173
 41.6105             8.55142             8.58156
