# freq_w_over_2pi_THz  kappa_x_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
1.12681700e+01 3.01906201e-02 3.45902001e-01 1.72951001e-01
1.13000010e+01 2.64572521e-02 3.48088143e-01 1.74044071e-01
1.13318319e+01 2.27652969e-02 3.49920114e-01 1.74960057e-01
1.13636629e+01 1.91182868e-02 3.51395595e-01 1.75697798e-01
1.13954939e+01 1.55194885e-02 3.52511524e-01 1.76255762e-01
1.14273249e+01 1.19742160e-02 3.53268922e-01 1.76634461e-01
1.14591559e+01 8.48573605e-03 3.53667605e-01 1.76833803e-01
1.14909869e+01 5.05842761e-03 3.53711396e-01 1.76855698e-01
1.15228179e+01 1.69615770e-03 3.53401049e-01 1.76700524e-01
1.15546489e+01 -1.59718136e-03 3.52744196e-01 1.76372098e-01
1.15864799e+01 -4.81686317e-03 3.51743490e-01 1.75871745e-01
1.16183108e+01 -7.95970942e-03 3.50405179e-01 1.75202590e-01
1.16501418e+01 -1.10227314e-02 3.48735417e-01 1.74367708e-01
1.16819728e+01 -1.39996987e-02 3.46743403e-01 1.73371701e-01
1.17138038e+01 -1.68891961e-02 3.44436919e-01 1.72218460e-01
1.17456348e+01 -1.96861307e-02 3.41825251e-01 1.70912626e-01
1.17774658e+01 -2.23871535e-02 3.38919198e-01 1.69459599e-01
1.18092968e+01 -2.49884480e-02 3.35728201e-01 1.67864101e-01
1.18411278e+01 -2.74881313e-02 3.32264142e-01 1.66132071e-01
1.18729588e+01 -2.98812558e-02 3.28540181e-01 1.64270091e-01
1.19047897e+01 -3.21647254e-02 3.24568571e-01 1.62284286e-01
1.19366207e+01 -3.43365249e-02 3.20361151e-01 1.60180575e-01
1.19684517e+01 -3.63926932e-02 3.15933555e-01 1.57966778e-01
