# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
8.2378598544e+00 9.4784668306e+02
8.2505922499e+00 9.4947207619e+02
8.2633246453e+00 9.5108452035e+02
8.2760570408e+00 9.5268416244e+02
8.2887894362e+00 9.5427113937e+02
8.3015218317e+00 9.5584557609e+02
8.3142542271e+00 9.5740758380e+02
8.3269866226e+00 9.5895725845e+02
8.3397190180e+00 9.6049467953e+02
8.3524514135e+00 9.6201990917e+02
8.3651838089e+00 9.6353299154e+02
8.3779162044e+00 9.6503395264e+02
8.3906485998e+00 9.6652280043e+02
8.4033809953e+00 9.6799952537e+02
8.4161133907e+00 9.6946410135e+02
8.4288457861e+00 9.7091648690e+02
8.4415781816e+00 9.7235662678e+02
8.4543105770e+00 9.7378445409e+02
8.4670429725e+00 9.7519989256e+02
8.4797753679e+00 9.7660285920e+02
8.4925077634e+00 9.7799326725e+02
8.5052401588e+00 9.7937102943e+02
8.5179725543e+00 9.8073606133e+02
8.5307049497e+00 9.8208828504e+02
8.5434373452e+00 9.8342763296e+02
8.5561697406e+00 9.8475405166e+02
8.5689021361e+00 9.8606750586e+02
8.5816345315e+00 9.8736798230e+02
8.5943669270e+00 9.8865549366e+02
8.6070993224e+00 9.8993008238e+02
8.6198317179e+00 9.9119182423e+02
8.6325641133e+00 9.9244083182e+02
8.6452965088e+00 9.9367725782e+02
8.6580289042e+00 9.9490129783e+02
8.6707612996e+00 9.9611319285e+02
8.6834936951e+00 9.9731323152e+02
8.6962260905e+00 9.9850175187e+02
8.7089584860e+00 9.9967914263e+02
8.7216908814e+00 1.0008458439e+03
8.7344232769e+00 1.0020023476e+03
8.7471556723e+00 1.0031491969e+03
8.7598880678e+00 1.0042869858e+03
