# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
1.5024226628e+00 2.1011862991e-06 1.9714011691e-06 1.7243069601e-06 2.7994134176e-06 1.7583495877e-06 2.4464174022e-06 2.2662942617e-06 2.0417349845e-06
1.5151550582e+00 2.1378121139e-06 2.0445202333e-06 1.7658545300e-06 2.8661531654e-06 1.7831539852e-06 2.4756084979e-06 2.3070348477e-06 2.0847705755e-06
1.5278874537e+00 2.1741531940e-06 2.1188614084e-06 1.8088809316e-06 2.9316676079e-06 1.8076164129e-06 2.5045345482e-06 2.3466332332e-06 2.1304387625e-06
1.5406198491e+00 2.2101328803e-06 2.1942937871e-06 1.8533562987e-06 2.9958308637e-06 1.8318786631e-06 2.5332378194e-06 2.3850894184e-06 2.1788247699e-06
1.5533522446e+00 2.2456608241e-06 2.2706743069e-06 1.8992362845e-06 3.0585179571e-06 1.8560630665e-06 2.5617790696e-06 2.4224241375e-06 2.2300035204e-06
1.5660846400e+00 2.2806886572e-06 2.3478477493e-06 1.9464747320e-06 3.1195930449e-06 1.8803095620e-06 2.5901952818e-06 2.4586878748e-06 2.2840265235e-06
1.5788170355e+00 2.3151461084e-06 2.4256719867e-06 1.9950046684e-06 3.1789565088e-06 1.9047497477e-06 2.6185410500e-06 2.4939365230e-06 2.3408769214e-06
1.5915494309e+00 2.3490085373e-06 2.5039946060e-06 2.0447799368e-06 3.2365087305e-06 1.9295281962e-06 2.6468727294e-06 2.5282476114e-06 2.4005734448e-06
1.6042818264e+00 2.3822157115e-06 2.5826603887e-06 2.0957217989e-06 3.2921591478e-06 1.9547607511e-06 2.6752211392e-06 2.5617022747e-06 2.4630467903e-06
1.6170142218e+00 2.4147721941e-06 2.6615122465e-06 2.1477732374e-06 3.3458443673e-06 1.9805688162e-06 2.7036355903e-06 2.5944267231e-06 2.5282435755e-06
1.6297466173e+00 2.4466679464e-06 2.7403977660e-06 2.2008537038e-06 3.3974738269e-06 2.0070867698e-06 2.7321662739e-06 2.6265111066e-06 2.5960486067e-06
1.6424790127e+00 2.4778984054e-06 2.8191495734e-06 2.2548835549e-06 3.4470384704e-06 2.0344174811e-06 2.7608554564e-06 2.6581086800e-06 2.6663279596e-06
1.6552114082e+00 2.5084891240e-06 2.8976320862e-06 2.3097849573e-06 3.4944658480e-06 2.0626554781e-06 2.7897260320e-06 2.6893636835e-06 2.7389158677e-06
1.6679438036e+00 2.5384793447e-06 2.9756741904e-06 2.3654909384e-06 3.5397740723e-06 2.0919091905e-06 2.8188132229e-06 2.7204293720e-06 2.8136222149e-06
1.6806761991e+00 2.5678909700e-06 3.0531346933e-06 2.4219064691e-06 3.5829269183e-06 2.1222416370e-06 2.8481504898e-06 2.7514860454e-06 2.8902203598e-06
1.6934085945e+00 2.5968116107e-06 3.1298714672e-06 2.4789528111e-06 3.6239515546e-06 2.1537195434e-06 2.8777457577e-06 2.7826779439e-06 2.9684686770e-06
1.7061409899e+00 2.6252832467e-06 3.2057367742e-06 2.5365494161e-06 3.6629023187e-06 2.1863985146e-06 2.9076051905e-06 2.8141943824e-06 3.0480674755e-06
1.7188733854e+00 2.6533880132e-06 3.2806109280e-06 2.5946112105e-06 3.6997882666e-06 2.2203285950e-06 2.9377375935e-06 2.8462066458e-06 3.1287348589e-06
1.7316057808e+00 2.6812189964e-06 3.3543527357e-06 2.6530657914e-06 3.7346818480e-06 2.2555134915e-06 2.9681500114e-06 2.8788860192e-06 3.2101383577e-06
