# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
4.5327327793e+00 8.5978634372e-06 2.7992676841e-07
4.5454651747e+00 8.5775446649e-06 2.7904002955e-07
4.5581975702e+00 8.5571062047e-06 2.7780963353e-07
4.5709299656e+00 8.5364929674e-06 2.7620116003e-07
4.5836623610e+00 8.5156558718e-06 2.7418846840e-07
4.5963947565e+00 8.4945744691e-06 2.7175044498e-07
4.6091271519e+00 8.4732420814e-06 2.6887536611e-07
4.6218595474e+00 8.4516751059e-06 2.6555491035e-07
4.6345919428e+00 8.4298992296e-06 2.6178980752e-07
4.6473243383e+00 8.4079688825e-06 2.5758587948e-07
4.6600567337e+00 8.3859396890e-06 2.5295715648e-07
4.6727891292e+00 8.3638938100e-06 2.4792550713e-07
4.6855215246e+00 8.3419240148e-06 2.4251526706e-07
4.6982539201e+00 8.3201343176e-06 2.3675673939e-07
4.7109863155e+00 8.2986257567e-06 2.3069189688e-07
4.7237187110e+00 8.2775337187e-06 2.2435663742e-07
4.7364511064e+00 8.2569728893e-06 2.1779998128e-07
4.7491835019e+00 8.2370869669e-06 2.1106854364e-07
4.7619158973e+00 8.2180036223e-06 2.0421339479e-07
4.7746482928e+00 8.1998584757e-06 1.9728673011e-07
4.7873806882e+00 8.1827895232e-06 1.9034600626e-07
4.8001130837e+00 8.1669257152e-06 1.8344224104e-07
4.8128454791e+00 8.1523947201e-06 1.7663158595e-07
4.8255778745e+00 8.1393275226e-06 1.6997206709e-07
4.8383102700e+00 8.1278301129e-06 1.6351655961e-07
4.8510426654e+00 8.1180183920e-06 1.5732148466e-07
4.8637750609e+00 8.1099843800e-06 1.5144452639e-07
4.8765074563e+00 8.1038252531e-06 1.4593918419e-07
4.8892398518e+00 8.0996189264e-06 1.4086379168e-07
4.9019722472e+00 8.0974327331e-06 1.3627901013e-07
4.9147046427e+00 8.0973278017e-06 1.3223976127e-07
4.9274370381e+00 8.0993526646e-06 1.2880674606e-07
4.9401694336e+00 8.1035430152e-06 1.2603753048e-07
4.9529018290e+00 8.1099328202e-06 1.2398607122e-07
4.9656342245e+00 8.1185388517e-06 1.2270128276e-07
4.9783666199e+00 8.1293673440e-06 1.2222078204e-07
4.9910990154e+00 8.1424227764e-06 1.2257025682e-07
5.0038314108e+00 8.1577003649e-06 1.2376138611e-07
5.0165638063e+00 8.1751938681e-06 1.2578574182e-07
5.0292962017e+00 8.1948762527e-06 1.2861960107e-07
5.0420285972e+00 8.2167404582e-06 1.3222207433e-07
5.0547609926e+00 8.2407487398e-06 1.3653940865e-07
5.0674933880e+00 8.2668878785e-06 1.4150260432e-07
5.0802257835e+00 8.2951161676e-06 1.4703912527e-07
5.0929581789e+00 8.3254213163e-06 1.5306581859e-07
5.1056905744e+00 8.3577655541e-06 1.5950002603e-07
5.1184229698e+00 8.3921296154e-06 1.6625355328e-07
5.1311553653e+00 8.4284815038e-06 1.7324678590e-07
5.1438877607e+00 8.4668059836e-06 1.8038966228e-07
5.1566201562e+00 8.5070780450e-06 1.8760321102e-07
5.1693525516e+00 8.5492849148e-06 1.9480773209e-07
5.1820849471e+00 8.5934093668e-06 2.0192551266e-07
5.1948173425e+00 8.6394436544e-06 2.0888395317e-07
5.2075497380e+00 8.6873708545e-06 2.1561577091e-07
5.2202821334e+00 8.7371890510e-06 2.2205594879e-07
5.2330145289e+00 8.7888943007e-06 2.2814365179e-07
