# coord_A   integrated_rho
2.130000000000000071e+01 -6.402543217769122386e+00
2.134285714285714164e+01 -6.827030755603813894e+00
2.138571428571428612e+01 -7.165780513945843033e+00
2.142857142857142705e+01 -7.421846739024808848e+00
2.147142857142857153e+01 -7.600253060276459749e+00
2.151428571428571601e+01 -7.707514540885043175e+00
2.155714285714285694e+01 -7.751119709719026751e+00
2.160000000000000142e+01 -7.739053864513699921e+00
2.164285714285714235e+01 -7.679435849481532905e+00
2.168571428571428683e+01 -7.580314655743232599e+00
2.172857142857142776e+01 -7.449635369644532545e+00
2.177142857142857224e+01 -7.295347199453430242e+00
2.181428571428571317e+01 -7.125557260961754125e+00
2.185714285714285765e+01 -6.948582126123434399e+00
2.189999999999999858e+01 -6.772985544674240188e+00
2.194285714285714306e+01 -6.607590474902432121e+00
2.198571428571428754e+01 -6.461141026249606512e+00
2.202857142857142847e+01 -6.341543165377887981e+00
2.207142857142857295e+01 -6.254778743339100444e+00
2.211428571428571388e+01 -6.203710673658237695e+00
2.215714285714285836e+01 -6.187078080108206812e+00
2.219999999999999929e+01 -6.198986345256138897e+00
2.224285714285714377e+01 -6.229132593473075019e+00
2.228571428571428470e+01 -6.263861985945871069e+00
2.232857142857142918e+01 -6.287968602741329960e+00
2.237142857142857011e+01 -6.286971315260083237e+00
2.241428571428571459e+01 -6.249459012895773213e+00
2.245714285714285907e+01 -6.169050923426459221e+00
2.250000000000000000e+01 -6.045573528062607060e+00
2.254285714285714448e+01 -5.885208872788124879e+00
2.258571428571428541e+01 -5.699585580634258797e+00
2.262857142857142989e+01 -5.503999893889047534e+00
2.267142857142857082e+01 -5.315126804157415563e+00
2.271428571428571530e+01 -5.148671065580585626e+00
2.275714285714285623e+01 -5.017391618066472603e+00
2.280000000000000071e+01 -4.929814352494073404e+00
2.284285714285714164e+01 -4.889769098518688573e+00
2.288571428571428612e+01 -4.896714365198752361e+00
2.292857142857142705e+01 -4.946636168278637946e+00
2.297142857142857153e+01 -5.033211421749423486e+00
2.301428571428571601e+01 -5.148951522024135308e+00
2.305714285714285694e+01 -5.286111282901003960e+00
