# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.7188733900e+00 1.1846273400e+01 4.9055728600e+00 7.0796827262e+06 1.0603441167e+06 1.6732774417e-06 7.3683676228e-07
1.7507043700e+00 1.1988416600e+01 4.8605103200e+00 7.2472924672e+06 1.0569438335e+06 1.6541924663e-06 7.1273601799e-07
1.7825353600e+00 1.2127343700e+01 4.8093375800e+00 7.4791766190e+06 1.0528766320e+06 1.6214811226e-06 6.8234305854e-07
1.8143663500e+00 1.2263223800e+01 4.7521886100e+00 7.7937977781e+06 1.0523665742e+06 1.5734593261e-06 6.4569426447e-07
1.8461973400e+00 1.2396239100e+01 4.6892099800e+00 8.1944429640e+06 1.0598471818e+06 1.5127616550e-06 6.0476702509e-07
1.8780283300e+00 1.2526597900e+01 4.6205975900e+00 8.6950896438e+06 1.0809993158e+06 1.4406519557e-06 5.6077469371e-07
1.9098593200e+00 1.2654492500e+01 4.5465132000e+00 9.2905020529e+06 1.1182558389e+06 1.3620891990e-06 5.1610488094e-07
1.9416903100e+00 1.2780122400e+01 4.4672120700e+00 9.9864657104e+06 1.1743369372e+06 1.2797442830e-06 4.7196184872e-07
1.9735212900e+00 1.2903762000e+01 4.3829002100e+00 1.0768949255e+07 1.2465400326e+06 1.1982377941e-06 4.2997900504e-07
2.0053522800e+00 1.3025599400e+01 4.2938695300e+00 1.1633551637e+07 1.3322481731e+06 1.1196580208e-06 3.9073090879e-07
2.0371832700e+00 1.3145907800e+01 4.2004031100e+00 1.2559445213e+07 1.4251537695e+06 1.0466949437e-06 3.5490549874e-07
2.0690142600e+00 1.3264939700e+01 4.1027537000e+00 1.3532444204e+07 1.5191452003e+06 9.8023235863e-07 3.2253128025e-07
2.1008452500e+00 1.3382948000e+01 4.0012498800e+00 1.4528948908e+07 1.6076616833e+06 9.2112293083e-07 2.9365435403e-07
2.1326762400e+00 1.3500198100e+01 3.8962581200e+00 1.5528054071e+07 1.6834098899e+06 8.6940694813e-07 2.6803576985e-07
2.1645072300e+00 1.3616930000e+01 3.7880691000e+00 1.6508623873e+07 1.7415098091e+06 8.2483737620e-07 2.4540402347e-07
2.1963382100e+00 1.3733421800e+01 3.6770619300e+00 1.7448114498e+07 1.7749760484e+06 7.8710062349e-07 2.2544134724e-07
2.2281692000e+00 1.3849901000e+01 3.5635651900e+00 1.8333090848e+07 1.7815891726e+06 7.5545913751e-07 2.0778078041e-07
2.2600001900e+00 1.3966620300e+01 3.4480085500e+00 1.9145470301e+07 1.7560414521e+06 7.2949998512e-07 1.9212317429e-07
2.2918311800e+00 1.4083870300e+01 3.3307332100e+00 1.9883251465e+07 1.6994379204e+06 7.0832832973e-07 1.7811898960e-07
2.3236621700e+00 1.4201853300e+01 3.2121435900e+00 2.0538337538e+07 1.6096613962e+06 6.9148017816e-07 1.6552075825e-07
2.3554931600e+00 1.4320771500e+01 3.0926187900e+00 2.1121332006e+07 1.4917451517e+06 6.7802407045e-07 1.5405340714e-07
2.3873241500e+00 1.4440877700e+01 2.9725885000e+00 2.1637511940e+07 1.3488709191e+06 6.6740010313e-07 1.4354307743e-07
2.4191551300e+00 1.4562386500e+01 2.8524191900e+00 2.2107950033e+07 1.1914694079e+06 6.5869456363e-07 1.3381686760e-07
2.4509861200e+00 1.4685449800e+01 2.7325152700e+00 2.2551402421e+07 1.0335395675e+06 6.5119895985e-07 1.2478968335e-07
2.4828171100e+00 1.4810282300e+01 2.6133190500e+00 2.2994337103e+07 8.9731787663e+05 6.4408389918e-07 1.1639666487e-07
2.5146481000e+00 1.4937023100e+01 2.4951464600e+00 2.3465430905e+07 8.1972628916e+05 6.3655439189e-07 1.0863314975e-07
2.5464790900e+00 1.5065874300e+01 2.3784777200e+00 2.3989514087e+07 8.2783843088e+05 6.2801915225e-07 1.0148749202e-07
2.5783100800e+00 1.5196911800e+01 2.2636161400e+00 2.4598703232e+07 9.3449019838e+05 6.1779320871e-07 9.4967508622e-08
2.6101410700e+00 1.5330274600e+01 2.1510040100e+00 2.5309004436e+07 1.1092143840e+06 6.0572412631e-07 8.9039245518e-08
2.6419720600e+00 1.5466051100e+01 2.0409825700e+00 2.6147947467e+07 1.3269124743e+06 5.9148241443e-07 8.3627412750e-08
2.6738030400e+00 1.5604355100e+01 1.9338930000e+00 2.7117264509e+07 1.5633814975e+06 5.7543986766e-07 7.8654840361e-08
2.7056340300e+00 1.5745211900e+01 1.8301397100e+00 2.8232562088e+07 1.8056608024e+06 5.5769688386e-07 7.3988865532e-08
2.7374650200e+00 1.5888672000e+01 1.7300007300e+00 2.9479472522e+07 2.0441783633e+06 5.3897409420e-07 6.9575282134e-08
2.7692960100e+00 1.6034735400e+01 1.6338046300e+00 3.0856925739e+07 2.2715094670e+06 5.1964785914e-07 6.5320693571e-08
2.8011270000e+00 1.6183452600e+01 1.5418799800e+00 3.2336660504e+07 2.4834296351e+06 5.0046765336e-07 6.1244361158e-08
2.8329579900e+00 1.6334747900e+01 1.4544795200e+00 3.3900438323e+07 2.6742966338e+06 4.8184474031e-07 5.7320515618e-08
2.8647889800e+00 1.6488659200e+01 1.3718686500e+00 3.5512090046e+07 2.8428068142e+06 4.6431114527e-07 5.3608646263e-08
2.8966199600e+00 1.6645034700e+01 1.2943254000e+00 3.7139947920e+07 2.9850682936e+06 4.4817065269e-07 5.0120209068e-08
2.9284509500e+00 1.6803874500e+01 1.2220519400e+00 3.8748487295e+07 3.1024609042e+06 4.3366530343e-07 4.6907084752e-08
2.9602819400e+00 1.6965064900e+01 1.1552631400e+00 4.0299756778e+07 3.1935704357e+06 4.2097189304e-07 4.3984975662e-08
2.9921129300e+00 1.7128479500e+01 1.0941359000e+00 4.1767281348e+07 3.2622419375e+06 4.1009323439e-07 4.1378474328e-08
3.0239439200e+00 1.7293966600e+01 1.0388218700e+00 4.3115643256e+07 3.3098053840e+06 4.0110654263e-07 3.9097503492e-08
3.0557749100e+00 1.7461399900e+01 9.8947271500e-01 4.4333707088e+07 3.3415983490e+06 3.9386284267e-07 3.7140811640e-08
