# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 4 jobs
8.0214091318e-01 7.4684218205e+00 4.9598960328e-01
8.1487330863e-01 7.7246949229e+00 5.5126836709e-01
8.2760570408e-01 7.9901914784e+00 6.0890428558e-01
8.4033809953e-01 8.2647688086e+00 6.6877808044e-01
8.5307049497e-01 8.5482431022e+00 7.3085133056e-01
8.6580289042e-01 8.8403380047e+00 7.9514189068e-01
8.7853528587e-01 9.1407227892e+00 8.6170854541e-01
8.9126768131e-01 9.4490220345e+00 9.3062676652e-01
9.0400007676e-01 9.7647919891e+00 1.0019788017e+00
9.1673247221e-01 1.0087534396e+01 1.0758441708e+00
9.2946486766e-01 1.0416706306e+01 1.1522866755e+00
9.4219726310e-01 1.0751754537e+01 1.2313456743e+00
9.5492965855e-01 1.1092067870e+01 1.3130356872e+00
9.6766205400e-01 1.1437018066e+01 1.3973479382e+00
9.8039444945e-01 1.1785983636e+01 1.4842328436e+00
9.9312684489e-01 1.2138308606e+01 1.5735971154e+00
1.0058592403e+00 1.2493381980e+01 1.6653291622e+00
1.0185916358e+00 1.2850568580e+01 1.7592824925e+00
1.0313240312e+00 1.3209287849e+01 1.8552619849e+00
1.0440564267e+00 1.3568990106e+01 1.9530623937e+00
1.0567888221e+00 1.3929149859e+01 2.0524500006e+00
1.0695212176e+00 1.4289323236e+01 2.1531556395e+00
1.0822536130e+00 1.4649101048e+01 2.2549052569e+00
1.0949860085e+00 1.5008152588e+01 2.3574044143e+00
1.1077184039e+00 1.5366229554e+01 2.4603567047e+00
1.1204507994e+00 1.5723144866e+01 2.5634303466e+00
1.1331831948e+00 1.6078780241e+01 2.6663065172e+00
1.1459155903e+00 1.6433174881e+01 2.7686928255e+00
1.1586479857e+00 1.6786402260e+01 2.8702676536e+00
1.1713803812e+00 1.7138604365e+01 2.9707127779e+00
1.1841127766e+00 1.7490087881e+01 3.0697279207e+00
1.1968451721e+00 1.7841138379e+01 3.1670110423e+00
1.2095775675e+00 1.8192268362e+01 3.2622983665e+00
1.2223099629e+00 1.8543990304e+01 3.3553316656e+00
1.2350423584e+00 1.8896888175e+01 3.4458379689e+00
1.2477747538e+00 1.9251635828e+01 3.5335826483e+00
1.2605071493e+00 1.9609034325e+01 3.6183638160e+00
1.2732395447e+00 1.9969791171e+01 3.6999253199e+00
1.2859719402e+00 2.0334831694e+01 3.7781225330e+00
1.2987043356e+00 2.0705052746e+01 3.8527686884e+00
1.3114367311e+00 2.1081386219e+01 3.9237099070e+00
1.3241691265e+00 2.1464826262e+01 3.9908253539e+00
1.3369015220e+00 2.1856236459e+01 4.0539204534e+00
1.3496339174e+00 2.2256728144e+01 4.1129672106e+00
1.3623663129e+00 2.2667244037e+01 4.1678269037e+00
1.3750987083e+00 2.3088732139e+01 4.2184466749e+00
1.3878311038e+00 2.3522112475e+01 4.2647510811e+00
1.4005634992e+00 2.3968393695e+01 4.3067060162e+00
1.4132958947e+00 2.4428363997e+01 4.3442928761e+00
1.4260282901e+00 2.4902963205e+01 4.3774826044e+00
1.4387606856e+00 2.5392870426e+01 4.4062996397e+00
1.4514930810e+00 2.5898883307e+01 4.4307783364e+00
1.4642254764e+00 2.6421621172e+01 4.4509138688e+00
1.4769578719e+00 2.6961642021e+01 4.4668254194e+00
1.4896902673e+00 2.7519557265e+01 4.4786225427e+00
1.5024226628e+00 2.8095786489e+01 4.4863447178e+00
1.5151550582e+00 2.8690635428e+01 4.4902365181e+00
1.5278874537e+00 2.9304477255e+01 4.4903919558e+00
