# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 4 jobs
4.9401694336e+00 8.3930937183e-06 1.2420159466e-07
4.9529018290e+00 8.3406609982e-06 1.2552940658e-07
4.9656342245e+00 8.2911135605e-06 1.2684566207e-07
4.9783666199e+00 8.2444172446e-06 1.2835266444e-07
4.9910990154e+00 8.2005043603e-06 1.3028975955e-07
5.0038314108e+00 8.1592816337e-06 1.3292029342e-07
5.0165638063e+00 8.1206144290e-06 1.3651267287e-07
5.0292962017e+00 8.0843461967e-06 1.4131046681e-07
5.0420285972e+00 8.0502977826e-06 1.4752810232e-07
5.0547609926e+00 8.0182533500e-06 1.5529817709e-07
5.0674933880e+00 7.9879828474e-06 1.6469507574e-07
5.0802257835e+00 7.9592241831e-06 1.7570584339e-07
5.0929581789e+00 7.9317294696e-06 1.8825724145e-07
5.1056905744e+00 7.9051996787e-06 2.0222085972e-07
5.1184229698e+00 7.8793443868e-06 2.1743863601e-07
5.1311553653e+00 7.8538627427e-06 2.3372072010e-07
5.1438877607e+00 7.8284518518e-06 2.5086401631e-07
5.1566201562e+00 7.8028066389e-06 2.6866683692e-07
5.1693525516e+00 7.7766263174e-06 2.8692557676e-07
5.1820849471e+00 7.7496188871e-06 3.0542541463e-07
5.1948173425e+00 7.7214985153e-06 3.2397079488e-07
5.2075497380e+00 7.6920007158e-06 3.4236938278e-07
5.2202821334e+00 7.6608716917e-06 3.6043242628e-07
5.2330145289e+00 7.6278811766e-06 3.7797318137e-07
5.2457469243e+00 7.5928219931e-06 3.9483018789e-07
5.2584793198e+00 7.5555063200e-06 4.1083721540e-07
5.2712117152e+00 7.5157803066e-06 4.2584329524e-07
5.2839441107e+00 7.4735196647e-06 4.3971850636e-07
5.2966765061e+00 7.4286280053e-06 4.5232904620e-07
5.3094089015e+00 7.3810340998e-06 4.6356783449e-07
5.3221412970e+00 7.3307093390e-06 4.7333980211e-07
5.3348736924e+00 7.2776654689e-06 4.8156389730e-07
5.3476060879e+00 7.2219310584e-06 4.8817491398e-07
5.3603384833e+00 7.1635644490e-06 4.9312085261e-07
5.3730708788e+00 7.1026792008e-06 4.9636931597e-07
5.3858032742e+00 7.0394035441e-06 4.9791034705e-07
5.3985356697e+00 6.9738933453e-06 4.9774167766e-07
5.4112680651e+00 6.9063404635e-06 4.9588392808e-07
5.4240004606e+00 6.8369600703e-06 4.9237291429e-07
5.4367328560e+00 6.7659799394e-06 4.8726332496e-07
5.4494652515e+00 6.6936724218e-06 4.8062681484e-07
5.4621976469e+00 6.6203119416e-06 4.7254735688e-07
5.4749300424e+00 6.5461939515e-06 4.6313146327e-07
5.4876624378e+00 6.4716138105e-06 4.5249701942e-07
5.5003948333e+00 6.3968966226e-06 4.4077860659e-07
5.5131272287e+00 6.3223609414e-06 4.2812513616e-07
5.5258596242e+00 6.2483272775e-06 4.1470474152e-07
5.5385920196e+00 6.1751246873e-06 4.0069105450e-07
5.5513244150e+00 6.1030670681e-06 3.8627925722e-07
5.5640568105e+00 6.0324662627e-06 3.7166816278e-07
5.5767892059e+00 5.9636296805e-06 3.5707460088e-07
5.5895216014e+00 5.8968390370e-06 3.4272449475e-07
5.6022539968e+00 5.8323782400e-06 3.2884134785e-07
5.6149863923e+00 5.7704970565e-06 3.1565799340e-07
5.6277187877e+00 5.7114302860e-06 3.0339525437e-07
5.6404511832e+00 5.6553977656e-06 2.9226911779e-07
5.6531835786e+00 5.6025895090e-06 2.8246414694e-07
5.6659159741e+00 5.5531593053e-06 2.7413661798e-07
5.6786483695e+00 5.5072545381e-06 2.6739152298e-07
5.6913807650e+00 5.4649842704e-06 2.6227812061e-07
5.7041131604e+00 5.4264278780e-06 2.5878768619e-07
