# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1
3.1830988618e+00 8.0569865121e-06 6.8283427561e-06 7.3237520501e-06 7.6708333566e-06
3.1958312573e+00 8.1221575876e-06 6.8935574100e-06 7.3653485691e-06 7.7631418102e-06
3.2085636527e+00 8.1884839646e-06 6.9627312190e-06 7.4083232355e-06 7.8570565293e-06
3.2212960482e+00 8.2557932100e-06 7.0356670823e-06 7.4528273092e-06 7.9524738840e-06
3.2340284436e+00 8.3238956475e-06 7.1121507598e-06 7.4990204537e-06 8.0492816082e-06
3.2467608391e+00 8.3926188440e-06 7.1919594420e-06 7.5470707357e-06 8.1473242571e-06
3.2594932345e+00 8.4617558799e-06 7.2748360410e-06 7.5971126086e-06 8.2464463855e-06
3.2722256300e+00 8.5311429437e-06 7.3605320382e-06 7.6493141391e-06 8.3464752767e-06
3.2849580254e+00 8.6006076024e-06 7.4487389282e-06 7.7037929741e-06 8.4472123064e-06
3.2976904209e+00 8.6699860445e-06 7.5391739141e-06 7.7606919701e-06 8.5484415788e-06
3.3104228163e+00 8.7391317020e-06 7.6315370599e-06 7.8201539840e-06 8.6499558339e-06
3.3231552118e+00 8.8079152501e-06 7.7255112905e-06 7.8822798558e-06 8.7515132681e-06
3.3358876072e+00 8.8761901207e-06 7.8207795306e-06 7.9471872322e-06 8.8528461705e-06
