# freq_w_over_2pi_THz  kappa_z_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
1.06952122e+01 1.03950177e+01 1.70484796e+00 1.20550955e+00
1.07270432e+01 1.03605428e+01 1.72525780e+00 1.21994149e+00
1.07588742e+01 1.03238942e+01 1.74395194e+00 1.23316024e+00
1.07907051e+01 1.02848572e+01 1.76087675e+00 1.24512789e+00
1.08225361e+01 1.02432927e+01 1.77597860e+00 1.25580651e+00
1.08543671e+01 1.01989859e+01 1.78923964e+00 1.26518349e+00
1.08861981e+01 1.01518609e+01 1.80058838e+00 1.27320825e+00
1.09180291e+01 1.01017282e+01 1.80997119e+00 1.27984290e+00
1.09498601e+01 1.00484741e+01 1.81737021e+00 1.28507480e+00
1.09816911e+01 9.99198480e+00 1.82269607e+00 1.28884075e+00
1.10135221e+01 9.93218449e+00 1.82594878e+00 1.29114076e+00
1.10453531e+01 9.86899735e+00 1.82712833e+00 1.29197483e+00
1.10771840e+01 9.80233491e+00 1.82614537e+00 1.29127978e+00
1.11090150e+01 9.73218455e+00 1.82301777e+00 1.28906823e+00
1.11408460e+01 9.65850834e+00 1.81769190e+00 1.28530227e+00
1.11726770e+01 9.58128102e+00 1.81016778e+00 1.27998191e+00
1.12045080e+01 9.50054049e+00 1.80039179e+00 1.27306924e+00
1.12363390e+01 9.41626148e+00 1.78839966e+00 1.26458953e+00
1.12681700e+01 9.32849454e+00 1.77415566e+00 1.25451750e+00
1.13000010e+01 9.23730286e+00 1.75764191e+00 1.24284051e+00
1.13318319e+01 9.14276226e+00 1.73892990e+00 1.22960913e+00
1.13636629e+01 9.04489802e+00 1.71794815e+00 1.21477278e+00
1.13954939e+01 8.94383650e+00 1.69476813e+00 1.19838204e+00
1.14273249e+01 8.83972937e+00 1.66935412e+00 1.18041162e+00
1.14591559e+01 8.73265244e+00 1.64174184e+00 1.16088679e+00
1.14909869e+01 8.62271945e+00 1.61194918e+00 1.13982020e+00
1.15228179e+01 8.51011239e+00 1.58004047e+00 1.11725733e+00
1.15546489e+01 8.39497025e+00 1.54599785e+00 1.09318556e+00
1.15864799e+01 8.27745860e+00 1.50987313e+00 1.06764153e+00
1.16183108e+01 8.15775940e+00 1.47173066e+00 1.04067073e+00
1.16501418e+01 8.03606350e+00 1.43160439e+00 1.01229717e+00
1.16819728e+01 7.91256676e+00 1.38952114e+00 9.82539822e-01
1.17138038e+01 7.78744358e+00 1.34558456e+00 9.51471969e-01
1.17456348e+01 7.66093408e+00 1.29980180e+00 9.19098669e-01
1.17774658e+01 7.53320886e+00 1.25228903e+00 8.85502066e-01
1.18092968e+01 7.40451813e+00 1.20304982e+00 8.50684687e-01
1.18411278e+01 7.27507169e+00 1.15221643e+00 8.14740050e-01
1.18729588e+01 7.14506162e+00 1.09984247e+00 7.77706067e-01
1.19047897e+01 7.01474067e+00 1.04599585e+00 7.39630760e-01
1.19366207e+01 6.88432873e+00 9.90765941e-01 7.00577315e-01
1.19684517e+01 6.75403053e+00 9.34252819e-01 6.60616504e-01
1.20002827e+01 6.62409376e+00 8.76535123e-01 6.19803929e-01
