# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
4.1380285204e+00 7.6126459552e+01 1.9148350779e+00
4.1507609158e+00 7.6937955157e+01 1.8708551517e+00
4.1634933113e+00 7.7774816320e+01 1.8339103154e+00
4.1762257067e+00 7.8637420958e+01 1.8042149663e+00
4.1889581022e+00 7.9526203158e+01 1.7817618053e+00
4.2016904976e+00 8.0441410900e+01 1.7661950974e+00
4.2144228931e+00 8.1383016966e+01 1.7570805472e+00
4.2271552885e+00 8.2350936894e+01 1.7537368792e+00
4.2398876840e+00 8.3345058732e+01 1.7553761440e+00
4.2526200794e+00 8.4364768759e+01 1.7612475264e+00
4.2653524749e+00 8.5409608716e+01 1.7704656903e+00
4.2780848703e+00 8.6478691596e+01 1.7823269118e+00
4.2908172658e+00 8.7571119918e+01 1.7961397384e+00
4.3035496612e+00 8.8685770146e+01 1.8113527768e+00
4.3162820567e+00 8.9821246401e+01 1.8275785166e+00
4.3290144521e+00 9.0976191021e+01 1.8445389176e+00
4.3417468475e+00 9.2148804365e+01 1.8620357872e+00
4.3544792430e+00 9.3337385880e+01 1.8800594079e+00
4.3672116384e+00 9.4539935642e+01 1.8985982650e+00
4.3799440339e+00 9.5754325492e+01 1.9177208038e+00
4.3926764293e+00 9.6978286836e+01 1.9375520603e+00
4.4054088248e+00 9.8209622461e+01 1.9581038668e+00
4.4181412202e+00 9.9445661953e+01 1.9794544272e+00
4.4308736157e+00 1.0068397083e+02 2.0015051745e+00
4.4436060111e+00 1.0192188911e+02 2.0241589544e+00
4.4563384066e+00 1.0315668166e+02 2.0471391212e+00
4.4690708020e+00 1.0438565967e+02 2.0701290078e+00
4.4818031975e+00 1.0560615246e+02 2.0926380008e+00
4.4945355929e+00 1.0681524984e+02 2.1141544526e+00
4.5072679884e+00 1.0801032428e+02 2.1340322672e+00
4.5200003838e+00 1.0918868232e+02 2.1516324675e+00
4.5327327793e+00 1.1034755634e+02 2.1662209967e+00
4.5454651747e+00 1.1148450556e+02 2.1771346635e+00
4.5581975702e+00 1.1259693692e+02 2.1836809376e+00
4.5709299656e+00 1.1368260455e+02 2.1852875459e+00
4.5836623610e+00 1.1473912548e+02 2.1814188714e+00
