# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
1.4514930810e+00 7.1272616153e-07 3.3065632798e-07 4.4730101910e-07 2.8755625043e-07 3.6727894755e-07 5.7157399374e-07 2.2554246103e-07 2.7607044751e-07
1.4642254764e+00 7.1685682311e-07 3.3177893756e-07 4.4755772777e-07 3.0574952529e-07 3.6348913741e-07 5.8140275403e-07 2.2768863836e-07 2.6894139233e-07
1.4769578719e+00 7.1989683210e-07 3.3277160069e-07 4.4705615854e-07 3.2440698191e-07 3.5975165206e-07 5.9088524363e-07 2.2953695004e-07 2.6181985860e-07
1.4896902673e+00 7.2183533135e-07 3.3362483587e-07 4.4578545066e-07 3.4344130191e-07 3.5612068505e-07 6.0000053409e-07 2.3110055402e-07 2.5479887489e-07
1.5024226628e+00 7.2266935979e-07 3.3433345322e-07 4.4373770542e-07 3.6276407913e-07 3.5265510176e-07 6.0874006378e-07 2.3239861516e-07 2.4797552737e-07
1.5151550582e+00 7.2240681356e-07 3.3489924925e-07 4.4091687217e-07 3.8228533509e-07 3.4941750508e-07 6.1709431977e-07 2.3345315873e-07 2.4144917846e-07
1.5278874537e+00 7.2106545894e-07 3.3532471908e-07 4.3732887496e-07 4.0191530887e-07 3.4646862914e-07 6.2505949688e-07 2.3429126343e-07 2.3532364406e-07
1.5406198491e+00 7.1867095835e-07 3.3562333642e-07 4.3298654923e-07 4.2156560420e-07 3.4387294557e-07 6.3264130287e-07 2.3494363116e-07 2.2970105765e-07
1.5533522446e+00 7.1526180540e-07 3.3581057109e-07 4.2791260381e-07 4.4115151335e-07 3.4169679473e-07 6.3984734809e-07 2.3544821024e-07 2.2468523514e-07
1.5660846400e+00 7.1088142880e-07 3.3590857986e-07 4.2213270957e-07 4.6058974268e-07 3.4000651698e-07 6.4668714546e-07 2.3584371175e-07 2.2037969553e-07
1.5788170355e+00 7.0558411442e-07 3.3594710469e-07 4.1567846143e-07 4.7980285276e-07 3.3887125580e-07 6.5317972086e-07 2.3617685599e-07 2.1688894750e-07
1.5915494309e+00 6.9943105724e-07 3.3596197567e-07 4.0859132770e-07 4.9871989121e-07 3.3835735157e-07 6.5934505143e-07 2.3649712831e-07 2.1431274933e-07
