# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
4.735000 2.960830 8.659481 4.403963 5.341425
4.745000 3.045814 8.788648 5.051673 5.628711
4.755000 3.146422 8.563322 5.670248 5.793331
4.765000 3.237273 8.213393 6.163830 5.871498
4.775000 3.306921 8.160924 6.470532 5.979459
4.785000 3.350998 8.516890 6.559912 6.142600
4.795000 3.361480 8.952033 6.421999 6.245171
4.805000 3.328900 9.090336 6.069482 6.162906
4.815000 3.255461 8.950282 5.550793 5.918845
4.825000 3.161897 8.907435 4.950931 5.673421
4.835000 3.076883 9.226479 4.368468 5.557277
4.845000 3.018433 9.725751 3.886896 5.543693
4.855000 2.987889 9.978719 3.563377 5.509995
4.865000 2.981554 9.812265 3.435144 5.409654
4.875000 3.002568 9.506933 3.524754 5.344752
4.885000 3.056840 9.460407 3.830376 5.449208
4.895000 3.139360 9.714396 4.310630 5.721462
4.905000 3.230018 9.908560 4.886187 6.008255
4.915000 3.305249 9.713920 5.463330 6.160833
4.925000 3.352309 9.227230 5.960125 6.179888
4.935000 3.371283 8.860290 6.316821 6.182798
4.945000 3.365295 8.861363 6.491879 6.239512
4.955000 3.332510 9.039582 6.459110 6.277067
4.965000 3.270703 9.014995 6.216388 6.167362
4.975000 3.189437 8.688488 5.796688 5.891538
4.985000 3.112728 8.368522 5.266243 5.582497
4.995000 3.065092 8.405005 4.708844 5.392981
5.005000 3.056039 8.769822 4.206004 5.343955
5.015000 3.079679 9.087526 3.824373 5.330526
5.025000 3.125740 9.080594 3.613635 5.273323
5.035000 3.186635 8.896613 3.605272 5.229507
5.045000 3.254156 8.925649 3.805583 5.328463
5.055000 3.313807 9.325622 4.187612 5.609014
5.065000 3.347577 9.821992 4.692288 5.953952
5.075000 3.344661 10.019515 5.242995 6.202391
5.085000 3.310291 9.854579 5.762557 6.309142
5.095000 3.263629 9.653544 6.182331 6.366501
5.105000 3.224474 9.733068 6.445816 6.467786
5.115000 3.202061 10.021228 6.513556 6.578948
5.125000 3.197058 10.149621 6.372617 6.573099
5.135000 3.209642 9.900664 6.044972 6.385092
5.145000 3.240699 9.471814 5.584271 6.098928
5.155000 3.284742 9.242906 5.060508 5.862718
5.165000 3.325434 9.328026 4.544155 5.732538
5.175000 3.342970 9.449874 4.099069 5.630637
5.185000 3.327846 9.286415 3.784232 5.466164
5.195000 3.287596 8.872316 3.652650 5.270854
5.205000 3.239991 8.573196 3.736369 5.183185
5.215000 3.199938 8.662194 4.028432 5.296854
5.225000 3.173829 9.001938 4.480796 5.552188
5.235000 3.164970 9.210150 5.020600 5.798573
5.245000 3.179650 9.110453 5.571295 5.953799
5.255000 3.223475 8.932154 6.062681 6.072770
5.265000 3.291043 9.027187 6.429071 6.249100
5.275000 3.363214 9.444293 6.611547 6.473018
5.285000 3.418620 9.865638 6.573339 6.619199
